,name,place_id,types,tel,location,Lat,Lng,vicinity,Village,District,City,rating,user_ratings_total,reviews_num,senti_score
0,扭轉體能訓練中心,ChIJlVoGxCS7QjQR5ZN08pP6jhc,"('gym', 'health')",+886 2 2622 0873 ,"[25.1958205, 121.4386128]",25.1958205,121.4386128,淡水區新市三路二段313號2樓,崁頂里,淡水區,新北市,4.8,49.0,49.0,0.633
1,World Gym 世界健身俱樂部 臺北淡水店,ChIJyWFbaf-vQjQR8mC8n5vfjao,"('gym', 'health')",+886 2 2622 6600 ,"[25.177699, 121.446651]",25.177699,121.446651,淡水區大忠街89號,水碓里,淡水區,新北市,4.6,918.0,918.0,0.581
2,健身工廠 Fitness Factory 淡水廠,ChIJ6_0TF_-vQjQRb6_6yY1RoQI,"('gym', 'health')",+886 2 2620 5000 ,"[25.1779953, 121.4490459]",25.1779953,121.4490459,淡水區北新路182巷16號B1,北新里,淡水區,新北市,4.7,637.0,637.0,0.51
3,淡水健身院,ChIJyYY9w_evQjQRhq9NcCAiRNQ,"('gym', 'health')",+886 2 2621 6912 ,"[25.1693568, 121.44642990000001]",25.1693568,121.44642990000001,淡水區英專路2巷27號,幸福里,淡水區,新北市,4.4,27.0,27.0,0.196
4,Jusfits 動能空間,ChIJN3e9PvivQjQRbrgHEqihEOM,"('gym', 'health')",+886 2 8631 5213 ,"[25.1716836, 121.44732659999998]",25.1716836,121.44732659999998,淡水區水源街一段122巷3號1 樓,幸福里,淡水區,新北市,4.6,14.0,14.0,0.638
5,P & K Fitness 體能訓練中心,ChIJNcqp4S-vQjQRj28oN3p26PA,"('gym', 'health')",+886 2 2620 3027 ,"[25.172529100000002, 121.45020430000001]",25.172529100000002,121.45020430000001,淡水區學府路113號,學府里,淡水區,新北市,4.8,32.0,32.0,0.575
6,Best life 美好人生（健康體態管理）淡水店,ChIJ9TbM1kyvQjQRTeIbjLaFyGk,"('gym', 'health')",+886 2 2628 1039 ,"[25.1698374, 121.4472861]",25.1698374,121.4472861,淡水區學府路51巷6弄3號,幸福里,淡水區,新北市,5.0,3.0,3.0,0.305
7,Curves淡水中山店,ChIJHR3YxlmlQjQRisrDsyFzz00,"('gym', 'health')",+886 2 2628 2275 ,"[25.170795000000002, 121.44173500000001]",25.170795000000002,121.44173500000001,"淡水區Zhongshan Road111號號 2 樓, No",清文里,淡水區,新北市,4.8,33.0,33.0,0.65
8,World Gym世界健身俱樂部 北投中和店,ChIJK-IsZqivQjQR-lkkOfdCaxk,"('gym', 'health')",+886 2 2892 2299 ,"[25.14185710000001, 121.49922849999999]",25.14185710000001,121.49922849999999,北投區中和街366-1號1樓,中和里,北投區,臺北市,4.9,1400.0,1400.0,0.63
9,飛健身合作社,ChIJvw6VciWvQjQRebvZJ6auEHg,"('gym', 'health')",+886 2 2898 8655 ,"[25.1384199, 121.50081680000001]",25.1384199,121.50081680000001,北投區永興路一段32巷3弄14號,中庸里,北投區,臺北市,5.0,35.0,35.0,0.61
10,聚廠健身俱樂部,ChIJizBDv1auQjQR1END3Dcv_oA,"('gym', 'health')",+886 2 2896 3311 ,"[25.131012899999998, 121.4984101]",25.131012899999998,121.4984101,北投區北投路二段13號B1-1,大同里,北投區,臺北市,4.8,386.0,386.0,0.518
11,curves北投店,ChIJL3xGhVCuQjQRv3VUfSHl9Zw,"('gym', 'health')",+886 2 2893 6585 ,"[25.133249, 121.502095]",25.133249,121.502095,北投區磺港路8號4樓,中央里,北投區,臺北市,4.4,42.0,42.0,0.695
12,耐森健身工作室 Nathan Fitness Studio,ChIJL9iSPnGvQjQRVgspFPkVmkI,"('gym', 'health')",+886 911 896 552 ,"[25.126503200000002, 121.5024596]",25.126503200000002,121.5024596,北投區三合街二段435號,清江里,北投區,臺北市,5.0,7.0,7.0,0.512
13,World Gym 世界健身俱樂部 臺北天母店,ChIJ6_h4opquQjQRTzifhShCzVA,"('gym', 'health')",,"[25.119925, 121.53114599999999]",25.119925,121.53114599999999,士林區中山北路七段34號,天山里,士林區,臺北市,4.6,1438.0,,
14,RISE Fitness 萊斯健身工作室,ChIJrwrf9JivQjQRWulcYAVVs8s,"('gym', 'health')",+886 2 2828 8806 ,"[25.10691, 121.51608689999999]",25.10691,121.51608689999999,北投區文林北路166巷1號2樓,文林里,北投區,臺北市,5.0,33.0,33.0,0.614
15,健身工廠 Fitness Factory 石牌廠,ChIJbdUVZyuvQjQRzgShaDEC_rU,"('gym', 'health')",+886 2 2820 0777 ,"[25.113403899999998, 121.5171108]",25.113403899999998,121.5171108,北投區裕民六路2號B1,裕民里,北投區,臺北市,4.9,1558.0,1557.0,0.54
16,World Gym世界健身俱樂部 臺北天母德行店,ChIJWzEQXCGtQjQRBmlpiLnzgVw,"('gym', 'health')",+886 2 2835 8880 ,"[25.112006100000002, 121.5376352]",25.112006100000002,121.5376352,士林區德行東路331巷35號,東山里,士林區,臺北市,4.5,533.0,533.0,0.46399999999999997
17,嗨！健身 HyperFit,ChIJnedo4pGvQjQRllRVX8t07Gw,"('gym', 'health')",,"[25.1173405, 121.533074]",25.1173405,121.533074,士林區天母東路50巷20之12號一樓,天福里,士林區,臺北市,5.0,17.0,17.0,0.7929999999999999
18,專屬健議Fitness Formula (健身教室),ChIJ81vJhY6uQjQRPmXodsodmWI,"('gym', 'health')",+886 2 2821 3120 ,"[25.1069023, 121.5170761]",25.1069023,121.5170761,北投區明德路11號,文林里,北投區,臺北市,5.0,235.0,235.0,0.52
19,Coffit健身咖,ChIJWWGmXSqvQjQRXeZfeKkxLRY,"('gym', 'health')",+886 2 2831 3186 ,"[25.1076532, 121.5252517]",25.1076532,121.5252517,士林區中山北路六段184號,蘭雅里,士林區,臺北市,5.0,21.0,21.0,0.515
20,FITZONE by World Gym 臺北天母店,ChIJ8-Wjmd6vQjQRnMLTh_q1YPU,"('gym', 'health')",+886 2 2871 5333 ,"[25.1212185, 121.5312362]",25.1212185,121.5312362,士林區中山北路七段73號,天玉里,士林區,臺北市,4.8,717.0,717.0,0.617
21,Stellar Powerhouse Taipei,ChIJ-SaerIOuQjQRGutKFP7Bd0g,"('gym', 'health')",+886 2 2838 1988 ,"[25.110749, 121.534042]",25.110749,121.534042,士林區士東路200巷55號,三玉里,士林區,臺北市,5.0,17.0,17.0,0.479
22,WELLGYM健身房,ChIJS9abHyKvQjQR6MBW6zcdxE0,"('gym', 'health')",,"[25.1176643, 121.5333571]",25.1176643,121.5333571,士林區天母東路50巷8號,天福里,士林區,臺北市,5.0,52.0,,
23,Curves 可爾姿 天母店 女性30分鐘環狀運動｜天母 健身房 士林區 瘦身/減重/減肥/減脂,ChIJxT9bboeuQjQRoeBEiGBV5q0,"('gym', 'health')",+886 2 2876 6108 ,"[25.11918009999999, 121.5296033]",25.11918009999999,121.5296033,士林區天母西路3號3樓之11,天玉里,士林區,臺北市,4.8,71.0,71.0,0.606
24,Barbell University 槓鈴學院,ChIJGcIBIxevQjQR1YqV2XjbqoM,"('gym', 'health')",+886 2 8866 6015 ,"[25.102629699999998, 121.52172309999999]",25.102629699999998,121.52172309999999,士林區福國路100-3號,德華里,士林區,臺北市,4.8,16.0,16.0,0.614
25,境｜Jing Fitness,ChIJa5NyHIivQjQR-EkzoUupkaY,"('gym', 'health')",+886 2 2833 8823 ,"[25.109486399999998, 121.52557279999999]",25.109486399999998,121.52557279999999,士林區中山北路六段258號,蘭雅里,士林區,臺北市,5.0,19.0,19.0,0.473
26,ＳＷeet * 慢走體適能,ChIJ_f8_Go-uQjQRrxPA3CvB1wk,"('gym', 'health')",+886 2 2838 6603 ,"[25.11011449999999, 121.52567959999999]",25.11011449999999,121.52567959999999,士林區中山北路六段284號,蘭雅里,士林區,臺北市,4.6,27.0,27.0,0.7809999999999999
27,Surmount運動空間-天母店,ChIJTw1ynOWvQjQRURKgkTe4M6M,"('gym', 'health')",+886 2 2831 1891 ,"[25.1044212, 121.52624329999999]",25.1044212,121.52624329999999,士林區忠誠路一段30號,忠誠里,士林區,臺北市,5.0,4.0,4.0,0.917
28,TRUE YOGA FITNESS/ 全真瑜珈健身天母館,ChIJFezq8ICuQjQRe4EIocx_xfU,"('gym', 'health')",+886 2 7747 1800 ,"[25.11670830000001, 121.5337771]",25.11670830000001,121.5337771,"士林區忠誠路二段188號B1樓,2樓",天福里,士林區,臺北市,4.3,448.0,448.0,0.541
29,94Fit,ChIJX4L2jg2vQjQRnRWOSTxsG0I,"('gym', 'health')",+886 958 549 494 ,"[25.1211417, 121.52679099999999]",25.1211417,121.52679099999999,士林區天母北路53號1樓,天玉里,士林區,臺北市,0.0,0.0,,
